validation_id,opinion_file,circuit,case_name,idb_agency,claude_challenged_fr,challenged_fr_citation,claude_confidence,fr_lookup_status,fr_citation_official,fr_document_number,fr_publication_date,fr_title,fr_agency_name,fr_parent_department,fr_sub_agency,is_independent_agency,rin_numbers,cfr_references,fr_html_url,fr_significant,fr_lookup_correct,agency_correct,notes
8,cluster_2647664_DC.txt,0,American Tort Reform Ass'n v. Occupational Safety & Health Administration,OSHA,"77 Fed. Reg. 17,574","77 Fed. Reg. 17,574",HIGH,FOUND,77 FR 17574,2012-4826,3/26/12,Hazard Communication,Occupational Safety and Health Administration,Labor Department,Occupational Safety and Health Administration,False,1218-AC20,29 CFR 1910; 29 CFR 1915; 29 CFR 1926,https://www.federalregister.gov/documents/2012/03/26/2012-4826/hazard-communication,True,YES,YES,
12,cluster_2651826_DC.txt,0,"Lilliputian Systems, Inc. v. Pipeline and Hazardous Materials Safety Administration",TRAN,76 Fed. Reg. 3308,76 Fed. Reg. 3308,HIGH,FOUND,76 FR 3308,2010-33324,1/19/11,"Hazardous Materials: Harmonization With the United Nations Recommendations, International Maritime Dangerous Goods Code, and the International Civil Aviation Organization Technical Instructions for the Safe Transport of Dangerous Goods by Air",Pipeline and Hazardous Materials Safety Administration,Transportation Department,Pipeline and Hazardous Materials Safety Administration,False,2137-AE45,49 CFR 171; 49 CFR 172; 49 CFR 173; 49 CFR 175; 49 CFR 176; 49 CFR 178; 49 CFR 180,https://www.federalregister.gov/documents/2011/01/19/2010-33324/hazardous-materials-harmonization-with-the-united-nations-recommendations-international-maritime,False,YES,YES,
19,cluster_2655145_DC.txt,0,Weaver v. Federal Motor Carrier Safety Administration,FMCS,"77 Fed. Reg. 42,548","77 Fed. Reg. 42,548",HIGH,FOUND,77 FR 42548,2012-17597,7/19/12,"Privacy Act of 1974; Department of Transportation, Federal Motor Carrier Safety Administration (FMCSA) 007 Pre-Employment Screening Program",Federal Motor Carrier Safety Administration,Transportation Department,Federal Motor Carrier Safety Administration,False,,,https://www.federalregister.gov/documents/2012/07/19/2012-17597/privacy-act-of-1974-department-of-transportation-federal-motor-carrier-safety-administration-fmcsa,,N,N/A,Step 2 misclassification — this is not a rulemaking challenge. Weaver challenges inclusion of a specific citation in FMCSA database. Case transferred to district court for lack of jurisdiction.
22,cluster_2656184_DC.txt,0,Utility Air Regulatory Group v. Environmental Protection Agency,7,77 Fed Reg. 9304,77 Fed Reg. 9304,HIGH,FOUND,77 FR 9304,2012-806,2/16/12,"National Emission Standards for Hazardous Air Pollutants From Coal- and Oil-Fired Electric Utility Steam Generating Units and Standards of Performance for Fossil-Fuel-Fired Electric Utility, Industrial-Commercial-Institutional, and Small Industrial-Commercial-Institutional Steam Generating Units",Environmental Protection Agency,Environmental Protection Agency,,True,"2060-AP52, 2060-AR31",40 CFR 60; 40 CFR 63,https://www.federalregister.gov/documents/2012/02/16/2012-806/national-emission-standards-for-hazardous-air-pollutants-from-coal--and-oil-fired-electric-utility,True,YES,YES,
29,cluster_2669957_DC.txt,0,"White Stallion Energy Center, LLC v. Environmental Protection Agency",7,77 Fed.Reg. 9304,77 Fed.Reg. 9304,HIGH,FOUND,77 FR 9304,2012-806,2/16/12,"National Emission Standards for Hazardous Air Pollutants From Coal- and Oil-Fired Electric Utility Steam Generating Units and Standards of Performance for Fossil-Fuel-Fired Electric Utility, Industrial-Commercial-Institutional, and Small Industrial-Commercial-Institutional Steam Generating Units",Environmental Protection Agency,Environmental Protection Agency,,True,"2060-AP52, 2060-AR31",40 CFR 60; 40 CFR 63,https://www.federalregister.gov/documents/2012/02/16/2012-806/national-emission-standards-for-hazardous-air-pollutants-from-coal--and-oil-fired-electric-utility,True,YES,YES,
30,cluster_2669957_DC.txt,0,"White Stallion Energy Center, LLC v. Environmental Protection Agency",7,77 Fed.Reg. 9304,77 Fed.Reg. 9304,HIGH,FOUND,77 FR 9304,2012-806,2/16/12,"National Emission Standards for Hazardous Air Pollutants From Coal- and Oil-Fired Electric Utility Steam Generating Units and Standards of Performance for Fossil-Fuel-Fired Electric Utility, Industrial-Commercial-Institutional, and Small Industrial-Commercial-Institutional Steam Generating Units",Environmental Protection Agency,Environmental Protection Agency,,True,"2060-AP52, 2060-AR31",40 CFR 60; 40 CFR 63,https://www.federalregister.gov/documents/2012/02/16/2012-806/national-emission-standards-for-hazardous-air-pollutants-from-coal--and-oil-fired-electric-utility,True,YES,YES,
34,cluster_2672688_CA10.txt,10,"Utah Ex Rel. Utah Department of Environmental Quality, Division of Air Quality v. United States Environmental Protection Agency",7,77 Fed. Reg. 74355,77 Fed. Reg. 74355,HIGH,FOUND,77 FR 74355,2012-29406,12/14/12,"Approval, Disapproval and Promulgation of State Implementation Plans; State of Utah; Regional Haze Rule Requirements for Mandatory Class I Areas Under 40 CFR 51.309",Environmental Protection Agency,Environmental Protection Agency,,True,,40 CFR 52,https://www.federalregister.gov/documents/2012/12/14/2012-29406/approval-disapproval-and-promulgation-of-state-implementation-plans-state-of-utah-regional-haze-rule,,YES,YES,
37,cluster_2675544_DC.txt,0,`,8,,,HIGH,PARSE_ERROR,,,,,,,,,,,,,N/A,N/A,FERC rule doesn’t have an FR citation in this case
38,cluster_2675544_DC.txt,0,Electric Power Supply Ass'n v. Federal Energy Regulatory Commission,8,,,HIGH,FERC_NOT_IN_FR,,,,,8,,,,,,,,N/A,N/A,FERC rule doesn’t have an FR citation in this case
45,cluster_2686025_CA4.txt,4,David King v. Sylvia Burwell,-9,"77 Fed.Reg. 30,377","77 Fed.Reg. 30,377",HIGH,FOUND,77 FR 30377,2012-12421,5/23/12,Health Insurance Premium Tax Credit,Internal Revenue Service,Treasury Department,Internal Revenue Service,False,1545-BJ82,26 CFR 1; 26 CFR 602,https://www.federalregister.gov/documents/2012/05/23/2012-12421/health-insurance-premium-tax-credit,False,YES,YES,
56,cluster_2718295_DC.txt,0,South Carolina Public Service Authority v. Federal Energy Regulatory Commission,8,"76 Fed. Reg. 49,842 (2011)","76 Fed. Reg. 49,842 (2011)",HIGH,FOUND,76 FR 49842,2011-19084,8/11/11,Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities,Federal Energy Regulatory Commission,Energy Department,Federal Energy Regulatory Commission,False,,18 CFR 35,https://www.federalregister.gov/documents/2011/08/11/2011-19084/transmission-planning-and-cost-allocation-by-transmission-owning-and-operating-public-utilities,,YES,YES,
57,cluster_2718295_DC.txt,0,South Carolina Public Service Authority v. Federal Energy Regulatory Commission,8,"76 Fed. Reg. 49,842 (2011)","76 Fed. Reg. 49,842 (2011)",HIGH,FOUND,76 FR 49842,2011-19084,8/11/11,Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities,Federal Energy Regulatory Commission,Energy Department,Federal Energy Regulatory Commission,False,,18 CFR 35,https://www.federalregister.gov/documents/2011/08/11/2011-19084/transmission-planning-and-cost-allocation-by-transmission-owning-and-operating-public-utilities,,YES,YES,
58,cluster_2718295_DC.txt,0,South Carolina Public Service Authority v. Federal Energy Regulatory Commission,8,"76 Fed. Reg. 49,842 (2011)","76 Fed. Reg. 49,842 (2011)",HIGH,FOUND,76 FR 49842,2011-19084,8/11/11,Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities,Federal Energy Regulatory Commission,Energy Department,Federal Energy Regulatory Commission,False,,18 CFR 35,https://www.federalregister.gov/documents/2011/08/11/2011-19084/transmission-planning-and-cost-allocation-by-transmission-owning-and-operating-public-utilities,,YES,YES,
59,cluster_2718295_DC.txt,0,South Carolina Public Service Authority v. Federal Energy Regulatory Commission,8,"76 Fed. Reg. 49,842 (2011)","76 Fed. Reg. 49,842 (2011)",HIGH,FOUND,76 FR 49842,2011-19084,8/11/11,Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities,Federal Energy Regulatory Commission,Energy Department,Federal Energy Regulatory Commission,False,,18 CFR 35,https://www.federalregister.gov/documents/2011/08/11/2011-19084/transmission-planning-and-cost-allocation-by-transmission-owning-and-operating-public-utilities,,YES,YES,
